Column1;Column2;Column3
Τ26Μα;3719;15
Τ26Μβ;2346;12
Τ26Μγ;1644;11
Τ26Χ;716;5
Τ27Μα;3076;12
Τ27Μβ;1294;7
Τ27Μγ;918;5
Τ27Χ;428;3
Ξ01Α;3476;7
Ξ02Μ;4655;13
Ξ02Χ;781;2
Ξ20Μ;1945;7
Ξ20Χα;786;3
Ξ20Χβ;257;1
Ξ21Μ;1136;6
Ξ21Χ;315;1
Ξ22Α;514;3
Σ01Μ;8558;23
Σ01Χ;2236;6
Σ02Μ;5777;18
Σ02Χα;3109;8
Σ02Χβ;2056;5
Σ03Μ;6097;20
Σ03Χ;1099;3
Σ04Μ;1694;7
Σ04Χ;966;2
Σ20Μ;7435;17
Σ20Χ;988;3
Σ21Μ;3782;14
Σ21Χ;1886;5
Σ21Α;294;1
Σ22Μ;1253;6
Σ22Χ;638;2
Ρ01Α;443;1
Ρ05Μα;8110;20
Ρ05Μβ;3050;9
Ρ05Χ;2140;6
Ρ10Μα;7118;24
Ρ10Μβ;2688;12
Ρ10Χ;1473;7
Ρ20Α;6023;11
Ρ20Μ;2514;11
Ρ20Χ;1261;6
Ρ21Μ;1556;8
Ρ21Χ;778;4
Ρ22Μ;1105;5
Ρ22Χ;444;2
Ρ23Α;428;2
Ρ24Μα;3773;14
Ρ24Μβ;1401;6
Ρ24Χ;623;3
Χ20Α;148;1
Χ40Α;140;1
Χ41Α;3066;21
Χ42Μ;3268;15
Χ42Χ;1331;8
Χ43Α;2568;14
Χ44Α;1152;7
Χ45Α;965;4
Χ46Α;4171;20
Χ47Α;1214;6
Χ48Α;3261;10
Ι20Α;366;2
Ι21Α;1089;5
Ι22Μ;910;6
Ι22Χ;366;1
Ι23Α;576;5
Ι24Α;599;4
Φ01Α;12204;21
Φ02Μ;9426;22
Φ02Χ;8412;15
Φ03Α;5386;13
Φ04Μ;8798;22
Φ04Χ;5558;11
Φ10Α;1472;1
Φ11Μ;3657;15
Φ11Χ;1883;7
Φ22Μ;2357;5
Φ22Χ;827;2
Φ24Μ;2785;11
Φ24Χ;934;2
Φ25Μ;1256;4
Φ25Χ;700;1
Φ26Μ;2460;9
Φ26Χ;828;2
Φ27Μ;3631;17
Φ27Χ;1479;6
Φ40Α;3649;7
Φ60Μ;1144;7
Φ60Χ;288;2
Φ61Α;280;1
Φ62Μ;1183;4
Φ62Χ;374;2
Φ63Μ;1245;6
Φ63Χ;506;3
Φ64Μ;1159;5
Φ64Χ;303;1
Ζ01Α;36068;38
Ζ02Μ;7225;18
Ζ02Χ;2979;6
Ζ03Α;2312;5
Ζ20Α;241;1
Ζ21Α;848;4
Ζ22Μ;1167;6
Ζ22Χ;397;2
S01Μ;2413;6
S01Χ;1334;1
S01Α;540;1
S20Μ;2716;20
S20Χ;1759;19
S20Α;934;1
S21Μ;887;5
S21Χ;232;1
S23Μ;2039;14
S23Χ;848;6
S24Μ;770;4
S24Χ;216;1
S25Α;1082;4
G01Μα;5709;22
G01Μβ;3573;9
G01Χ;2182;3
W10Α;2014;3
W11Α;991;2
W13Α;685;2
