Κ44Α	           311  	1
Κ45Μα	        2.428  	10
Κ45Μβ	        1.019  	4
Κ45Χ	           521  	2
Κ46Μ	        1.245  	6
Κ46Χ	           444  	2
Κ47Α	        2.423  	6 
Π01Μ	        6.489  	18
Π01Χ	        3.857  	9
Π02Μ	        5.741  	17
Π02Χ	        2.771  	8
Π03Μ	        6.908  	17
Π03Χα	        2.826  	8
Π03Χβ	        1.813  	4
Π04Μα	        4.847  	16
Π04Μβ	        2.710  	9
Π04Χ	        1.578  	4
Π05Μα	        3.329  	12
Π05Μβ	        2.085  	7
Π05Χ	        1.379  	4
Π06Α	        1.037  	3
Π07Μ	        1.550  	5
Π07Χ	           983  	2
Π10Μ	        1.697  	5
Π10Χ	           868  	1
Π11Α	           566  	2
Π12Μα	        4.177  	16
Π12Μβ	        1.932  	7
Π12Χ	           967  	3
Π26Μ	        3.338  	14
Π26Χ	        1.245  	5
Π26Α	           330  	1
Π27Μ	        2.521  	12
Π27Χ	           988  	4
Π27Α	           265  	1
Π28Μ	        2.062  	10
Π28Χ	           872  	4
Π28Α	           290  	1
Π40Μ	        1.673  	9
Π40Χ	           677  	4
Π41Μ	        1.027  	5
Π41Χ	           412  	2
Π42Α	        1.097  	5
Π43Α	           335  	2
Π44Μ	        1.097  	5
Π44Χ	        1.073  	2
Π45Μ	        1.338  	7
Π45Χ	           623  	3
Π46Α	           327  	2
Π47Μ	        1.121  	5
Π47Χ	           335  	2
Π50Μ	        1.136  	6
Π50Χ	           374  	2 	 
Η01Μ	        7.916  	19
Η01Χ	        3.682  	7
Η02Μα	        5.111  	17
Η02Μβ	        2.578  	9
Η02Χ	        2.079  	6
Η05Μ	        4.533  	14
Η05Χ	        1.393  	4
Η06Μ	        4.646  	19
Η06Χ	        1.556  	5
Η07Μ	        4.299  	14
Η07Χ	        2.037  	6
Η08Μ	        2.111  	6
Η08Χ	        1.273  	2
Η20Μ	        3.561  	11
Η20Χ	        1.517  	5
Η23Μ	        2.552  	11
Η23Χ	           786  	3
Η40Μα	        2.654  	12
Η40Μβ	           965  	5
Η40Χ	           366  	2
Η41Μ	        1.930  	9
Η41Χ	           872  	4
Η42Μ	        1.938  	8
Η42Χ	           708  	3
Η43Μ	        1.813  	8
Η43Χ	           521  	2
Η44Μ	        1.198  	6
Η44Χ	           436  	2 	 
Μ01Μ	      14.020  	25
Μ01Χ	        9.606  	7
Μ02Μ	        9.110  	27
Μ02Χ	        3.430  	8
Μ03Μ	        6.307  	15
Μ03Χ	        6.411  	7
Μ04Μ	        7.042  	9
Μ04Χ	        6.611  	6
Μ05Μ	        7.705  	11
Μ05Χ	        6.101  	5
Μ06Α	      19.980  	9
Μ07Α	        5.235  	21
Μ08Μ	        4.449  	17
Μ08Χ	        3.014  	9
Μ09Μ	      14.720  	18
Μ09Χ	        9.783  	7
Μ10Μ	        3.391  	10
Μ10Χ	        1.908  	4
Μ11Α	        4.045  	4
Μ12Μα	        5.478  	24
Μ12Μβ	        2.993  	14
Μ12Χ	        1.665  	6
Μ13Μ	        3.893  	11
Μ13Χ	        2.083  	4
Μ15Α	        3.761  	6
Μ16Α	        1.588  	2
Μ17Μ	        2.708  	3
Μ17Χ	        1.764  	2
Μ18Α	           743  	1
Μ19Μ	        2.648  	6
Μ19Χ	        1.904  	2
Μ20Α	        1.286  	2
Μ21Α	        1.052  	2
Μ23Α	           661  	1
Μ24Α	           710  	1
Μ25Μ	        2.864  	11
Μ25Χ	        1.260  	3
Μ27Μ	        2.179  	9
Μ27Χ	           902  	2
Μ28Μ	        2.639  	11
Μ28Χ	        1.379  	2
Μ29Α	        1.903  	1
Μ30Α	           891  	1
Μ31Μ	      11.675  	23
Μ31Χ	        8.533  	11
Μ32Μα	      12.912  	27
Μ32Μβ	        9.963  	12
Μ32Χ	        9.147  	9
Μ60Α	        1.720  	7
Μ61Μ	        2.210  	13
Μ61Χ	           856  	4
Μ63Μ	        1.198  	7
Μ63Χ	           444  	2
Μ64Μ	        2.669  	15
Μ64Χ	        1.175  	8
Μ65Μ	        2.560  	12
